Year,first_bloom_Boskoop
1958,129
1959,104
1960,115
1961,99
1962,134
1963,127
1964,126
1965,131
1966,116
1967,120
1968,122
1969,125
1970,134
1971,123
1972,121
1973,133
1974,102
1975,119
1976,126
1977,124
1978,124
1979,134
1980,127
1981,105
1982,130
1983,123
1984,129
1985,133
1986,131
1987,121
1988,121
1989,110
1990,95
1991,106
1992,117
1993,116
1994,116
1995,117
1996,121
1997,107
1998,109
1999,113
2000,113
2001,122
2002,100
2003,113
2004,113
2005,113
2006,124
2007,104
2008,115
2009,109
2010,115
2011,101
2012,111
2013,123
2014,94
2015,111
2016,114
2017,100
2018,109
